Last Name,First Name,Second Contestant Last Name,Second Contestant First Name,Season,Days Participating,Medically Evacuated,Average Temperature of Hometown (based on September) °c,Average Temperature of Show (based on September) °c,Knife,Multi-Tool,Sharpening Stone,Duct Tape/Electrical Tape,Shovel,Sewing Kit,Carabiner,LED Flashlight,Ice Spikes,Axe,Saw,Hatchet,"Auger, Scotch Eyed",Beef Jerky,Dried snack mix,Biltong,Hardtack Biscuits,Chocolate,Pemmican,Emergency Rations,Trail Mix,Flour,Salt,Rice/Sugar/Salt,Pot,Frying Pan,Flint and Steel/Ferro Rod,Canteen,Bear Canister,Bowl,Spoon,Lighter,Bivvy Bag,Hammock,Sleeping Pad,Sleeping Bag,Paracord,Tarp,Rope,Fishing Line + Hooks,Wood Bow and Arrows,Trapping Wire,Gauge Gill Net,Net Foraging Bag,Slingshot,Soap Bar,Comb,Towel,Toothpaste,Floss,Shower Soap,Razor
Wowak,Dan,null,null,3,51,No,17,10,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Baird,Ted,Baird,Jim,4,75,No,17,17,No,Yes,No,No,No,No,No,No,No,No,Double,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Bosdell,Shannon,Bosdell,Jesse,4,5,Yes,13,17,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Double,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Brockdorff,Pete,Brockdorff,Sam,4,74,No,20,17,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Double,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Richardson,Brad,Richardson,Josh,4,1,Yes,17,17,No,No,No,No,No,No,No,No,No,Yes,Double,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Double,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Wilkes,Brody,Wilkes,Chris,4,14,No,18,17,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Double,No,No,No,No,Double,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Ribar,Alex,Ribar,Logan,4,2,No,15,17,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Whipple,Brooke,Whipple,Dave,4,49,No,15,17,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Double,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Double,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Roberts,Larry,null,null,5,41,No,14,9,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Double,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Richardson,Brad,null,null,5,7,No,17,9,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
